행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체)
1101061,종로구,종로1·2·3·4가동,01,40,354 ,338 ,78 ,88 ,68 ,79 ,25 ,8 ,87 ,35 ,40 ,42 
1101061,종로구,종로1·2·3·4가동,01,45,388 ,363 ,102 ,96 ,61 ,100 ,40 ,7 ,107 ,22 ,22 ,24 
1101061,종로구,종로1·2·3·4가동,01,50,442 ,221 ,59 ,52 ,27 ,58 ,42 ,4 ,62 ,23 ,32 ,34 
1101061,종로구,종로1·2·3·4가동,01,55,469 ,278 ,52 ,50 ,53 ,56 ,32 ,3 ,60 ,50 ,23 ,24 
1101061,종로구,종로1·2·3·4가동,01,60,359 ,181 ,34 ,42 ,37 ,45 ,16 ,2 ,37 ,26 ,6 ,6 
1101061,종로구,종로1·2·3·4가동,01,65,269 ,135 ,28 ,27 ,35 ,22 ,28 ,1 ,21 ,13 ,15 ,16 
1101061,종로구,종로1·2·3·4가동,01,70,173 ,104 ,25 ,17 ,4 ,15 ,10 ,0 ,14 ,18 ,8 ,9 
1101061,종로구,종로1·2·3·4가동,01,75,243 ,112 ,8 ,17 ,20 ,11 ,12 ,1 ,14 ,11 ,19 ,20 
1101061,종로구,종로1·2·3·4가동,02,20,318 ,271 ,31 ,20 ,49 ,31 ,4 ,10 ,29 ,16 ,30 ,32 
1101061,종로구,종로1·2·3·4가동,02,25,290 ,290 ,29 ,34 ,46 ,54 ,8 ,13 ,45 ,41 ,40 ,42 
1101061,종로구,종로1·2·3·4가동,02,30,262 ,197 ,23 ,20 ,20 ,30 ,7 ,11 ,30 ,23 ,14 ,15 
1101061,종로구,종로1·2·3·4가동,02,35,195 ,172 ,33 ,27 ,11 ,34 ,11 ,7 ,34 ,11 ,11 ,12 
1101061,종로구,종로1·2·3·4가동,02,40,225 ,164 ,26 ,34 ,23 ,35 ,13 ,4 ,39 ,19 ,20 ,22 
1101061,종로구,종로1·2·3·4가동,02,45,199 ,199 ,49 ,56 ,31 ,60 ,14 ,2 ,51 ,23 ,15 ,16 
1101061,종로구,종로1·2·3·4가동,02,50,249 ,140 ,28 ,37 ,17 ,39 ,17 ,2 ,39 ,17 ,15 ,16 
1101061,종로구,종로1·2·3·4가동,02,55,316 ,158 ,29 ,38 ,21 ,42 ,37 ,2 ,39 ,16 ,13 ,14 
1101061,종로구,종로1·2·3·4가동,02,60,263 ,160 ,53 ,54 ,23 ,58 ,69 ,1 ,58 ,14 ,6 ,6 
1101061,종로구,종로1·2·3·4가동,02,65,208 ,128 ,25 ,20 ,28 ,24 ,14 ,1 ,20 ,10 ,18 ,19 
1101061,종로구,종로1·2·3·4가동,02,70,169 ,84 ,14 ,20 ,0 ,15 ,13 ,0 ,15 ,8 ,5 ,6 
1101061,종로구,종로1·2·3·4가동,02,75,272 ,124 ,15 ,22 ,8 ,15 ,8 ,0 ,16 ,11 ,15 ,16 
1101063,종로구,종로5·6가동,01,20,307 ,126 ,9 ,14 ,18 ,13 ,0 ,6 ,7 ,7 ,22 ,24 
1101063,종로구,종로5·6가동,01,25,280 ,245 ,33 ,25 ,16 ,38 ,6 ,9 ,34 ,16 ,39 ,42 
1101063,종로구,종로5·6가동,01,30,214 ,160 ,21 ,36 ,21 ,33 ,11 ,13 ,28 ,12 ,14 ,15 
1101063,종로구,종로5·6가동,01,35,185 ,145 ,24 ,41 ,11 ,39 ,10 ,7 ,27 ,13 ,7 ,8 
